name,price,description,category,color,type,images,videos
"Green Flower",45000,"Beautiful green flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,green,Flower,"/images/placeholder-flower.jpg","/images/flowers/green/1 min video advertisemnet.mp4"
"Mixed Bouquet",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 1",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 10",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 2",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 3",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 4",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 5",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 6",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 7",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 8",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mixed 9",78000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Mized Colors",35000,"Beautiful mixed flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Mixed Bouquet 1",88000,"Beautiful mixed bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,mixed,Bouquet,"/images/placeholder-flower.jpg",""
"Orange Flower",35000,"Beautiful orange flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,orange,Flower,"/images/flowers/orange/orange-1.jpg",""
"Full Rose Flowers With White Cover",45000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Heart Shaped Rose",85000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Flower",35000,"Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,pink,Flower,"/images/flowers/pink/full rose flowers with white cover.jpg|/images/flowers/pink/heartshapped roses with short moet and chocolates.jpg|/images/flowers/pink/home decor flowers in glass yellow and pink colors.jpg|/images/flowers/pink/pink and cake and moet bouquet.jpg|/images/flowers/pink/pink and while flowers with chocolate package.jpg|/images/flowers/pink/pink and white bouquet.jpg|/images/flowers/pink/pink-1.jpg|/images/flowers/pink/pink-2.jpg|/images/flowers/pink/pink-3.jpg|/images/flowers/pink/rose and yelllow boquet.jpg|/images/flowers/pink/rose bouquet packed with moet and puppet and chocolate.jpg|/images/flowers/pink/rose packed with chocolate and accompanied with four cousins .jpg|/images/flowers/pink/rose-whilte with four cousins and chocolate package.jpg|/images/flowers/pink/rosed heart shaped.jpg|/images/flowers/pink/roses and white boquetr.jpg|/images/flowers/pink/roses heart shaped package with nutella.jpg",""
"Pink Gift Package",103000,"Beautiful pink bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,pink,Bouquet,"/images/placeholder-flower.jpg",""
"Pink Gift Package 1",120000,"Premium pink flower arrangement with special gift packaging. Includes carefully selected flowers beautifully arranged with chocolates and other treats. Perfect for special occasions and thoughtful gifts.",flowers,pink,Gift Package,"/images/flowers/pink/full rose flowers with white cover.jpg|/images/flowers/pink/heartshapped roses with short moet and chocolates.jpg|/images/flowers/pink/home decor flowers in glass yellow and pink colors.jpg|/images/flowers/pink/pink and cake and moet bouquet.jpg|/images/flowers/pink/pink and while flowers with chocolate package.jpg|/images/flowers/pink/pink and white bouquet.jpg|/images/flowers/pink/pink-1.jpg|/images/flowers/pink/pink-2.jpg|/images/flowers/pink/pink-3.jpg|/images/flowers/pink/rose and yelllow boquet.jpg|/images/flowers/pink/rose bouquet packed with moet and puppet and chocolate.jpg|/images/flowers/pink/rose packed with chocolate and accompanied with four cousins .jpg|/images/flowers/pink/rose-whilte with four cousins and chocolate package.jpg|/images/flowers/pink/rosed heart shaped.jpg|/images/flowers/pink/roses and white boquetr.jpg|/images/flowers/pink/roses heart shaped package with nutella.jpg",""
"Pink Bouquet",78000,"Beautiful pink bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,pink,Bouquet,"/images/placeholder-flower.jpg",""
"Pink Flower 1",35000,"Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,pink,Flower,"/images/flowers/pink/full rose flowers with white cover.jpg|/images/flowers/pink/heartshapped roses with short moet and chocolates.jpg|/images/flowers/pink/home decor flowers in glass yellow and pink colors.jpg|/images/flowers/pink/pink and cake and moet bouquet.jpg|/images/flowers/pink/pink and while flowers with chocolate package.jpg|/images/flowers/pink/pink and white bouquet.jpg|/images/flowers/pink/pink-1.jpg|/images/flowers/pink/pink-2.jpg|/images/flowers/pink/pink-3.jpg|/images/flowers/pink/rose and yelllow boquet.jpg|/images/flowers/pink/rose bouquet packed with moet and puppet and chocolate.jpg|/images/flowers/pink/rose packed with chocolate and accompanied with four cousins .jpg|/images/flowers/pink/rose-whilte with four cousins and chocolate package.jpg|/images/flowers/pink/rosed heart shaped.jpg|/images/flowers/pink/roses and white boquetr.jpg|/images/flowers/pink/roses heart shaped package with nutella.jpg",""
"Pink Flower 2",35000,"Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,pink,Flower,"/images/flowers/pink/full rose flowers with white cover.jpg|/images/flowers/pink/heartshapped roses with short moet and chocolates.jpg|/images/flowers/pink/home decor flowers in glass yellow and pink colors.jpg|/images/flowers/pink/pink and cake and moet bouquet.jpg|/images/flowers/pink/pink and while flowers with chocolate package.jpg|/images/flowers/pink/pink and white bouquet.jpg|/images/flowers/pink/pink-1.jpg|/images/flowers/pink/pink-2.jpg|/images/flowers/pink/pink-3.jpg|/images/flowers/pink/rose and yelllow boquet.jpg|/images/flowers/pink/rose bouquet packed with moet and puppet and chocolate.jpg|/images/flowers/pink/rose packed with chocolate and accompanied with four cousins .jpg|/images/flowers/pink/rose-whilte with four cousins and chocolate package.jpg|/images/flowers/pink/rosed heart shaped.jpg|/images/flowers/pink/roses and white boquetr.jpg|/images/flowers/pink/roses heart shaped package with nutella.jpg",""
"Pink Flower 3",35000,"Beautiful pink flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,pink,Flower,"/images/flowers/pink/full rose flowers with white cover.jpg|/images/flowers/pink/heartshapped roses with short moet and chocolates.jpg|/images/flowers/pink/home decor flowers in glass yellow and pink colors.jpg|/images/flowers/pink/pink and cake and moet bouquet.jpg|/images/flowers/pink/pink and while flowers with chocolate package.jpg|/images/flowers/pink/pink and white bouquet.jpg|/images/flowers/pink/pink-1.jpg|/images/flowers/pink/pink-2.jpg|/images/flowers/pink/pink-3.jpg|/images/flowers/pink/rose and yelllow boquet.jpg|/images/flowers/pink/rose bouquet packed with moet and puppet and chocolate.jpg|/images/flowers/pink/rose packed with chocolate and accompanied with four cousins .jpg|/images/flowers/pink/rose-whilte with four cousins and chocolate package.jpg|/images/flowers/pink/rosed heart shaped.jpg|/images/flowers/pink/roses and white boquetr.jpg|/images/flowers/pink/roses heart shaped package with nutella.jpg",""
"Rose And Yelllow Boquet",45000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Gift Package 2",70000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Gift Package 3",70000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Gift Package 4",70000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Heart Shaped Rose 1",60000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Roses And White Boquetr",45000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Pink Heart Shaped Rose 2",85000,"Exquisite pink roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,pink,Rose,"/images/placeholder-flower.jpg",""
"Purple Bucket Bucket Arrangement",65000,"Stunning purple flowers arranged in an elegant bucket. This eye-catching arrangement brings natural beauty to any space. Great for home decoration, office spaces, or as a special gift.",flowers,purple,Bucket Arrangement,"/images/flowers/purple/purple bucket flowers.jpg|/images/flowers/purple/purple flowers with chocolate package.jpg|/images/flowers/purple/purple-bucket.jpg",""
"Purple Gift Package",120000,"Premium purple flower arrangement with special gift packaging. Includes carefully selected flowers beautifully arranged with chocolates and other treats. Perfect for special occasions and thoughtful gifts.",flowers,purple,Gift Package,"/images/flowers/purple/purple bucket flowers.jpg|/images/flowers/purple/purple flowers with chocolate package.jpg|/images/flowers/purple/purple-bucket.jpg",""
"Purple Bucket Bucket Arrangement 1",65000,"Stunning purple flowers arranged in an elegant bucket. This eye-catching arrangement brings natural beauty to any space. Great for home decoration, office spaces, or as a special gift.",flowers,purple,Bucket Arrangement,"/images/flowers/purple/purple bucket flowers.jpg|/images/flowers/purple/purple flowers with chocolate package.jpg|/images/flowers/purple/purple-bucket.jpg",""
"Red Gift Package",78000,"Beautiful red bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,red,Bouquet,"/images/placeholder-flower.jpg",""
"Red Flower",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Heart Shaped Bouquet",93000,"Beautiful red bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,red,Bouquet,"/images/placeholder-flower.jpg",""
"Red Bouquet",78000,"Beautiful red bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,red,Bouquet,"/images/placeholder-flower.jpg",""
"Red Gift Package 1",95000,"Premium red flower arrangement with special gift packaging. Includes carefully selected flowers beautifully arranged with chocolates and other treats. Perfect for special occasions and thoughtful gifts.",flowers,red,Gift Package,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 1",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
