name,price,description,category,color,type,images,videos
"Red Flower 2",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 3",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 4",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 5",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 6",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 7",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Red Flower 8",35000,"Beautiful red flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,red,Flower,"/images/flowers/red/basket package of mixed pink white yellow and red flowers.jpg|/images/flowers/red/green and red colors flowers.jpg|/images/flowers/red/heart shaped red white flowers bouquet .jpg|/images/flowers/red/mixed colors booket red coat.jpg|/images/flowers/red/red pink and jp chenet AND CHOXOLATE PACKAGE.jpg|/images/flowers/red/red-1.jpg|/images/flowers/red/red-2.jpg|/images/flowers/red/red-3.jpg|/images/flowers/red/red-4.jpg|/images/flowers/red/red-5.jpg|/images/flowers/red/red-6.jpg|/images/flowers/red/red-7.jpg|/images/flowers/red/red-8.jpg","/images/flowers/red/roses red video.mp4"
"Roses Red Video",55000,"Exquisite red roses hand-selected for their perfect bloom and vibrant color. Each rose is carefully arranged by our expert florists to create a stunning display. Perfect for romantic occasions, anniversaries, or expressing your love.",valentine,red,Rose,"/images/placeholder-flower.jpg",""
"White Flower",35000,"Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,white,Flower,"/images/flowers/white/all yellow flowers with white cover(coat).jpg|/images/flowers/white/bucket flower of white blue and balloon .jpg|/images/flowers/white/full white color bouquet.jpg|/images/flowers/white/wedding white flower2.jpg|/images/flowers/white/white-1.jpg|/images/flowers/white/white-2.jpg|/images/flowers/white/white-3.jpg",""
"White Bucket Bucket Arrangement",65000,"Stunning white flowers arranged in an elegant bucket. This eye-catching arrangement brings natural beauty to any space. Great for home decoration, office spaces, or as a special gift.",flowers,white,Bucket Arrangement,"/images/flowers/white/all yellow flowers with white cover(coat).jpg|/images/flowers/white/bucket flower of white blue and balloon .jpg|/images/flowers/white/full white color bouquet.jpg|/images/flowers/white/wedding white flower2.jpg|/images/flowers/white/white-1.jpg|/images/flowers/white/white-2.jpg|/images/flowers/white/white-3.jpg",""
"White Bouquet",78000,"Beautiful white bouquet featuring a carefully curated selection of premium flowers. Hand-arranged by our professional florists to create a harmonious blend of colors and textures. Ideal for celebrations, gifts, or brightening any space.",birthday,white,Bouquet,"/images/placeholder-flower.jpg",""
"Wedding Wedding Bouquet",156000,"Elegant white wedding bouquet designed for your special day. Features premium flowers arranged in a romantic style. Customizable to match your wedding theme and personal preferences.",wedding,white,Wedding Bouquet,"/images/wedding/wedding while.jpg",""
"White Flower 1",35000,"Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,white,Flower,"/images/flowers/white/all yellow flowers with white cover(coat).jpg|/images/flowers/white/bucket flower of white blue and balloon .jpg|/images/flowers/white/full white color bouquet.jpg|/images/flowers/white/wedding white flower2.jpg|/images/flowers/white/white-1.jpg|/images/flowers/white/white-2.jpg|/images/flowers/white/white-3.jpg",""
"White Flower 2",35000,"Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,white,Flower,"/images/flowers/white/all yellow flowers with white cover(coat).jpg|/images/flowers/white/bucket flower of white blue and balloon .jpg|/images/flowers/white/full white color bouquet.jpg|/images/flowers/white/wedding white flower2.jpg|/images/flowers/white/white-1.jpg|/images/flowers/white/white-2.jpg|/images/flowers/white/white-3.jpg",""
"White Flower 3",35000,"Beautiful white flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,white,Flower,"/images/flowers/white/all yellow flowers with white cover(coat).jpg|/images/flowers/white/bucket flower of white blue and balloon .jpg|/images/flowers/white/full white color bouquet.jpg|/images/flowers/white/wedding white flower2.jpg|/images/flowers/white/white-1.jpg|/images/flowers/white/white-2.jpg|/images/flowers/white/white-3.jpg",""
"Yellow Flower",35000,"Beautiful yellow flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,yellow,Flower,"/images/flowers/yellow/yellow-1.jpg|/images/flowers/yellow/yellow-2.jpg",""
"Yellow Flower 1",35000,"Beautiful yellow flowers from Akazuba Florist. Hand-selected for their vibrant color and perfect bloom. Each flower is carefully chosen to ensure the highest quality and freshness.",flowers,yellow,Flower,"/images/flowers/yellow/yellow-1.jpg|/images/flowers/yellow/yellow-2.jpg",""
"Funeral Funeral Wreath",120000,"Respectful mixed funeral arrangement to honor your loved one. Beautifully crafted with care and compassion by our professional florists. Available in various sizes and styles.",funerals,mixed,Funeral Wreath,"/images/funerals/funeral many.jpg|/images/funerals/funeral.jpg",""
"Funeral Funeral Wreath 1",120000,"Respectful mixed funeral arrangement to honor your loved one. Beautifully crafted with care and compassion by our professional florists. Available in various sizes and styles.",funerals,mixed,Funeral Wreath,"/images/funerals/funeral many.jpg|/images/funerals/funeral.jpg",""
"A Beautful Puppet",150000,"Premium fragrance gift package from our exclusive collection. Includes luxurious perfume with elegant packaging, perfect for special occasions and making a lasting impression.",special-occasions,mixed,Gift Package,"/images/placeholder-flower.jpg",""
"Premium Perfume 1",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 10",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 2",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 3",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 4",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 5",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 6",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 7",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 8",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Premium Perfume 9",125000,"Premium fragrance inspired by nature's beauty. Long-lasting scent with exquisite floral notes that create an unforgettable impression. Perfect for those who appreciate the finer things in life.",special-occasions,mixed,Flower,"/images/flowers/mixed/mixed colors bouquet.jpg|/images/flowers/mixed/mixed-1.jpg|/images/flowers/mixed/mixed-10.jpg|/images/flowers/mixed/mixed-2.jpg|/images/flowers/mixed/mixed-3.jpg|/images/flowers/mixed/mixed-4.jpg|/images/flowers/mixed/mixed-5.jpg|/images/flowers/mixed/mixed-6.jpg|/images/flowers/mixed/mixed-7.jpg|/images/flowers/mixed/mixed-8.jpg|/images/flowers/mixed/mixed-9.jpg|/images/flowers/mixed/mized colors.jpg|/images/flowers/mixed/placeholder-flower.jpg|/images/flowers/mixed/placeholder-product.jpg","/images/flowers/mixed/video of bouquet .mp4"
"Wedding Wedding Bouquet 1",180000,"Elegant mixed wedding bouquet designed for your special day. Features premium flowers arranged in a romantic style. Customizable to match your wedding theme and personal preferences.",wedding,mixed,Wedding Bouquet,"/images/wedding/wedding while.jpg",""